<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170103,100000,173.4100000,174.9800000,173.0000000,174.3800000,1776290
20170103,101500,174.4800000,175.2900000,174.3600000,174.7300000,1513980
20170103,103000,174.7000000,175.4600000,174.7000000,175.3900000,1257400
20170103,104500,175.3100000,175.7000000,175.2200000,175.5500000,1298360
20170103,110000,175.5600000,175.9000000,175.0200000,175.1600000,937750
20170103,111500,175.1600000,175.7500000,174.8500000,175.4200000,855460
20170103,113000,175.4400000,175.5400000,174.8700000,175.1100000,1346680
20170103,114500,175.2100000,175.5800000,175.1500000,175.4100000,808290
20170103,120000,175.3600000,175.7000000,175.2500000,175.6500000,725180
20170103,121500,175.6700000,178.7600000,175.6100000,178.3000000,4228980
20170103,123000,178.3000000,179.2000000,177.5200000,178.3400000,5940090
20170103,124500,178.3300000,178.7100000,177.8500000,178.1600000,2396500
20170103,130000,178.1400000,178.5700000,178.1400000,178.3200000,1526230
20170103,131500,178.3600000,178.4100000,177.8000000,177.8800000,1865980
20170103,133000,177.8700000,178.4800000,177.8000000,178.3700000,1331050
20170103,134500,178.4000000,178.7000000,178.3500000,178.6900000,1261880
20170103,140000,178.6900000,179.5800000,178.6100000,179.2000000,2334740
20170103,141500,179.2500000,179.3700000,178.5500000,178.6800000,707040
20170103,143000,178.7000000,179.1000000,178.5500000,178.6000000,622500
20170103,144500,178.6100000,178.7400000,178.3500000,178.5900000,632030
20170103,150000,178.6000000,179.1000000,178.5200000,178.7800000,421210
20170103,151500,178.7900000,179.1300000,178.6200000,179.0000000,982720
20170103,153000,179.0800000,179.4800000,178.9400000,179.4000000,1078020
20170103,154500,179.4100000,179.5800000,179.0000000,179.1900000,790040
20170103,160000,179.1700000,179.3200000,179.0000000,179.1600000,618330
20170103,161500,179.1600000,179.3500000,178.9000000,179.0500000,583870
20170103,163000,179.1000000,179.2600000,178.9500000,179.2200000,295940
20170103,164500,179.2000000,179.3000000,179.0200000,179.2000000,346120
20170103,170000,179.2200000,179.4500000,179.0500000,179.2800000,855590
20170103,171500,179.2800000,179.9200000,179.1700000,179.8600000,1660140
20170103,173000,179.8600000,181.0100000,179.5700000,180.6800000,3497030
20170103,174500,180.6800000,181.5000000,180.6500000,181.3500000,3002200
20170103,180000,181.2800000,181.6800000,180.6500000,180.7800000,1798520
20170103,181500,180.7500000,180.9800000,180.2100000,180.5400000,2623810
20170103,183000,180.5200000,180.8000000,180.3000000,180.4000000,1367180
20170103,184500,180.1200000,180.1200000,180.1200000,180.1200000,555050
20170104,100000,178.9100000,179.4100000,177.8000000,177.9000000,3182520
20170104,101500,177.9100000,178.8700000,177.6400000,178.8600000,2218560
20170104,103000,178.8400000,178.8500000,178.0000000,178.3300000,1969100
20170104,104500,178.3700000,178.3700000,177.8500000,178.0400000,758380
20170104,110000,178.0100000,178.1700000,177.3500000,177.6000000,1304860
20170104,111500,177.5500000,177.7700000,177.1200000,177.5900000,1530630
20170104,113000,177.5700000,178.0000000,177.5200000,177.7500000,1372710
20170104,114500,177.8100000,177.8500000,177.3000000,177.4200000,728960
20170104,120000,177.4300000,177.6300000,177.2000000,177.3000000,1013240
20170104,121500,177.3800000,177.3900000,176.4300000,176.6800000,1712430
20170104,123000,176.6500000,176.6900000,175.3500000,175.5000000,2386300
20170104,124500,175.4800000,175.9400000,175.4500000,175.5800000,666950
20170104,130000,175.5800000,176.1600000,175.1500000,175.7700000,1220710
20170104,131500,175.7900000,176.2300000,175.2500000,175.4400000,717990
20170104,133000,175.4400000,175.4400000,174.8900000,175.2000000,1535590
20170104,134500,175.1700000,175.2000000,174.2300000,174.6800000,1608590
20170104,140000,174.6500000,175.0200000,174.5300000,174.5700000,447660
20170104,141500,174.5700000,175.0100000,174.5300000,174.8200000,740050
20170104,143000,174.8300000,174.9700000,174.4200000,174.7300000,633780
20170104,144500,174.8200000,175.2000000,174.6300000,175.1000000,924310
20170104,150000,175.0900000,175.5600000,175.0700000,175.3900000,1006660
20170104,151500,175.3900000,175.8800000,175.3700000,175.7900000,611010
20170104,153000,175.7900000,175.8600000,175.1500000,175.3900000,800770
20170104,154500,175.3900000,175.5000000,175.0300000,175.3400000,393700
20170104,160000,175.3100000,175.8600000,175.0300000,175.5000000,492150
20170104,161500,175.4500000,175.9700000,175.4500000,175.5800000,991290
20170104,163000,175.5800000,175.7100000,175.2200000,175.6700000,444020
